# timestamp tx ty tz qx qy qz qw
1766070017.170399904 143.982556797 16.698123744 -86.865974112 -0.734045700 -0.192385531 -0.068184570 -0.647700226
1766070017.269900084 144.369128942 16.741036875 -87.032044129 -0.735358288 -0.195250240 -0.062364585 -0.645938225
1766070017.369800091 144.752608892 16.787550570 -87.194342877 -0.734153867 -0.197882713 -0.057751485 -0.646935312
1766070017.469700098 145.138088689 16.835916230 -87.354191103 -0.733895056 -0.201719836 -0.055507854 -0.646239919
1766070017.566200018 145.519232448 16.882409779 -87.512163478 -0.733820367 -0.207107659 -0.054471868 -0.644706834
1766070017.670099974 145.909946851 16.936961716 -87.661584683 -0.731095924 -0.211299326 -0.053214438 -0.646544329
1766070017.769799948 146.298413772 16.992236271 -87.816194030 -0.727252891 -0.214303858 -0.051855642 -0.649990831
1766070017.866100073 146.683300733 17.050567288 -87.962549725 -0.726023433 -0.216028264 -0.050358434 -0.650911508
1766070017.965600014 147.075624713 17.113681176 -88.096205090 -0.724012132 -0.219825460 -0.051273558 -0.651808424
1766070018.065799952 147.466636582 17.173450693 -88.223922003 -0.722552670 -0.226786090 -0.053594175 -0.650855877
1766070018.169600010 147.858976365 17.244473975 -88.354520476 -0.723751709 -0.231590488 -0.054708136 -0.647731681
1766070018.266299963 148.254178914 17.315413476 -88.480256105 -0.725134763 -0.232929530 -0.053703895 -0.645785801
1766070018.370199919 148.654530909 17.392445423 -88.608970858 -0.724595302 -0.233625383 -0.053283893 -0.646174632
1766070018.467999935 149.053403389 17.463481510 -88.733578706 -0.724499830 -0.233251897 -0.052291593 -0.646497594
1766070018.569600105 149.454831450 17.535814491 -88.855229712 -0.724755127 -0.232553707 -0.050673735 -0.646591797
1766070018.670599937 149.858919728 17.612321588 -88.980566721 -0.724199200 -0.231937510 -0.048149401 -0.647628092
1766070018.769200087 150.265876836 17.689892636 -89.101748326 -0.725827138 -0.231318219 -0.045074474 -0.646246964
1766070018.865299940 150.674964002 17.761811078 -89.224245170 -0.727210866 -0.231307567 -0.045257896 -0.644680455
1766070018.969399929 151.084645901 17.833766452 -89.346733284 -0.725113281 -0.230738473 -0.044680292 -0.647282132
1766070019.067500114 151.499633606 17.897919226 -89.470059582 -0.722438246 -0.229350126 -0.044171010 -0.650792150
1766070019.167900085 151.909341112 17.965585164 -89.590390210 -0.720389686 -0.230138807 -0.044641758 -0.652749526
1766070019.268199921 152.321876685 18.040920613 -89.708734580 -0.718715414 -0.231907242 -0.045882243 -0.653882256
1766070019.367399931 152.737297599 18.105692412 -89.828213175 -0.718444880 -0.234462897 -0.044289536 -0.653377794
1766070019.465800047 153.158624464 18.167135518 -89.944490224 -0.718498734 -0.235748767 -0.040988823 -0.653071210
1766070019.563999891 153.581138434 18.228552978 -90.058909682 -0.718507639 -0.237053144 -0.039941777 -0.652653993
1766070019.668800116 154.005259201 18.287055622 -90.174198721 -0.718511750 -0.238277247 -0.039491023 -0.652231000
1766070019.763999939 154.434216640 18.339115084 -90.283739439 -0.718156626 -0.239296127 -0.038243459 -0.652323434
1766070019.865999937 154.863084049 18.388503298 -90.401156336 -0.719628498 -0.237024738 -0.037946949 -0.651547486
1766070019.965500116 155.297244064 18.431828760 -90.511110837 -0.719833306 -0.233770924 -0.038645936 -0.652455100
1766070020.062900066 155.730850387 18.470679796 -90.625374142 -0.718389671 -0.233357204 -0.039674678 -0.654130427
1766070020.168200016 156.167732646 18.503675691 -90.740891193 -0.717493719 -0.235973021 -0.038888336 -0.654222588
1766070020.263099909 156.604054358 18.535030565 -90.860840348 -0.717388014 -0.238054650 -0.037363536 -0.653672997
1766070020.365000010 157.043865777 18.561275610 -90.973277638 -0.717781013 -0.240643563 -0.034226716 -0.652464271
1766070020.465899944 157.484421146 18.579973097 -91.085026872 -0.717571396 -0.242289559 -0.032337679 -0.652181981
1766070020.571399927 157.928863406 18.594123690 -91.194623210 -0.717151370 -0.243575955 -0.031064504 -0.652226697
1766070020.662100077 158.372633569 18.606775785 -91.307601295 -0.717351150 -0.245229673 -0.030734936 -0.651402409
1766070020.764899969 158.818524124 18.614260203 -91.415404723 -0.718618542 -0.249820479 -0.032428606 -0.648170891
1766070020.861599922 159.263400192 18.625537414 -91.521166555 -0.719229462 -0.256614129 -0.034357549 -0.644730741
1766070020.965100050 159.713181439 18.636361486 -91.632093385 -0.721155149 -0.261481700 -0.034273711 -0.640615238
1766070021.064399958 160.168602008 18.650373270 -91.742548781 -0.721834619 -0.267018928 -0.036353308 -0.637443418
1766070021.161000013 160.625194212 18.670664211 -91.851678531 -0.721882556 -0.271836021 -0.036960226 -0.635314642
1766070021.261100054 161.084271122 18.689785893 -91.970443142 -0.722963048 -0.273712056 -0.034768550 -0.633401365
1766070021.364500046 161.555980175 18.706020975 -92.086425324 -0.724189465 -0.275133027 -0.033213765 -0.631465186
1766070021.464499950 162.024930408 18.728454275 -92.212832227 -0.724516864 -0.275318830 -0.031330880 -0.631104770
1766070021.563800097 162.497985744 18.765463723 -92.340682985 -0.723768741 -0.274725229 -0.029160920 -0.632324679
1766070021.661799908 162.974198782 18.799532520 -92.472382095 -0.723900076 -0.273959659 -0.025484486 -0.632665256
1766070021.764199972 163.453386507 18.841743901 -92.603438606 -0.724701073 -0.272976556 -0.021949811 -0.632305591
1766070021.863500118 163.934812162 18.885428624 -92.736757479 -0.724294159 -0.273089276 -0.020606045 -0.632768211
1766070021.960500002 164.414802830 18.930965856 -92.886109993 -0.723456327 -0.274848123 -0.019816592 -0.632990327
1766070022.063999891 164.902265179 18.977452980 -93.030401718 -0.722407150 -0.277810126 -0.017632471 -0.632960140
1766070022.164099932 165.392984933 19.033684958 -93.176463703 -0.721553064 -0.278383850 -0.014553027 -0.633760063
1766070022.263000011 165.882581208 19.086624571 -93.326608086 -0.721118177 -0.278177782 -0.011213756 -0.634413074
1766070022.364099979 166.371336391 19.139879285 -93.477551400 -0.720944447 -0.278594248 -0.008846539 -0.634465198
1766070022.458499908 166.866843980 19.191127150 -93.629296249 -0.720420962 -0.280128861 -0.004585773 -0.634429216
1766070022.558700085 167.361987795 19.237418256 -93.778814089 -0.720136966 -0.281811338 -0.001195168 -0.634021839
1766070022.659800053 167.850860298 19.283056815 -93.934304947 -0.719734044 -0.283334456 -0.000677730 -0.633801257
1766070022.761100054 168.347202740 19.331445353 -94.083911521 -0.718727737 -0.283787927 0.000741779 -0.634739554
1766070022.860800028 168.840555742 19.376542970 -94.236156307 -0.718213171 -0.283186863 0.001119543 -0.635589323
1766070022.961400032 169.331751562 19.423099489 -94.385796456 -0.716680854 -0.279988167 0.000350428 -0.638729251
1766070023.058599949 169.821786249 19.462051597 -94.540815045 -0.715577079 -0.270835245 0.000091313 -0.643892620
1766070023.161000013 170.312513121 19.503633131 -94.690399594 -0.712635597 -0.262572109 -0.001990352 -0.650540107
1766070023.259299994 170.807555002 19.545829866 -94.838273119 -0.712110346 -0.255164956 -0.005229666 -0.654035435
1766070023.357100010 171.296879027 19.585037827 -94.977273035 -0.711085646 -0.248632566 -0.009768781 -0.657604457
1766070023.460500002 171.787020878 19.619399706 -95.120670598 -0.708541924 -0.244664396 -0.014912521 -0.661729017
1766070023.560100079 172.273026838 19.652295123 -95.254507634 -0.708071904 -0.238849262 -0.016717901 -0.664308453
1766070023.660000086 172.757723760 19.683336274 -95.379685984 -0.708422435 -0.234487522 -0.018839078 -0.665430946
1766070023.759000063 173.235081728 19.711991311 -95.501985895 -0.709383764 -0.230823652 -0.021273520 -0.665614418
1766070023.856499910 173.711627322 19.731862511 -95.618306360 -0.709337414 -0.228791750 -0.024992495 -0.666235802
1766070023.958899975 174.185940514 19.753299455 -95.730497956 -0.708459868 -0.227643947 -0.027951876 -0.667444036
1766070024.058500051 174.659738327 19.773951742 -95.836534919 -0.709787512 -0.226752669 -0.027262494 -0.666364518
1766070024.158600092 175.126554924 19.796215174 -95.941217990 -0.714750173 -0.229129676 -0.029251974 -0.660133399
1766070024.258199930 175.591794614 19.817610534 -96.038452685 -0.718641158 -0.234278195 -0.030998955 -0.653993638
1766070024.355400085 176.054126889 19.832005010 -96.141450824 -0.717996192 -0.235287433 -0.030365942 -0.654369316
1766070024.458899975 176.515185932 19.844741758 -96.239653624 -0.715964123 -0.237799231 -0.029441223 -0.655728690
1766070024.555000067 176.980547744 19.861669705 -96.337532681 -0.715890178 -0.239165590 -0.027645281 -0.655390580
1766070024.654700041 177.439483031 19.869905135 -96.432820987 -0.715938126 -0.240688306 -0.026655372 -0.654821526
1766070024.758300066 177.905962301 19.881542460 -96.529344023 -0.715811341 -0.242511995 -0.026062458 -0.654310939
1766070024.858500004 178.369859993 19.892979066 -96.622432691 -0.717632759 -0.244312311 -0.024748365 -0.651691827
1766070024.958199978 178.831940083 19.906339088 -96.714837363 -0.718386092 -0.246531756 -0.025274095 -0.650003643
1766070025.058300018 179.290588054 19.920034189 -96.810767514 -0.717793934 -0.248095446 -0.025821565 -0.650041356
1766070025.159300089 179.752596838 19.927118205 -96.902214505 -0.718242401 -0.249169123 -0.024987448 -0.649167335
1766070025.254899979 180.211569146 19.933075508 -96.996101039 -0.718711452 -0.249803035 -0.025810201 -0.648371904
1766070025.355400085 180.669095722 19.942527152 -97.093550193 -0.718563160 -0.251596240 -0.027356967 -0.647779216
1766070025.458300114 181.130061733 19.951765494 -97.188964845 -0.717786727 -0.253798588 -0.027847016 -0.647760014
1766070025.556200027 181.593827856 19.963825083 -97.288723547 -0.718736887 -0.255795146 -0.028024975 -0.645910776
1766070025.660700083 182.061364427 19.963155156 -97.385176977 -0.716812580 -0.263454860 -0.032753171 -0.644746843
1766070025.754100084 182.521141309 19.985594602 -97.486355483 -0.716907466 -0.267244110 -0.034141035 -0.643007512
1766070025.858000040 182.992117879 19.991306264 -97.586214752 -0.716975164 -0.268581977 -0.034564877 -0.642351621
1766070025.954099894 183.469819572 20.003438994 -97.692385849 -0.716341573 -0.267256681 -0.034428002 -0.643617379
1766070026.057800055 183.955833280 20.013960329 -97.794612656 -0.715364106 -0.267784015 -0.034280900 -0.644492620
1766070026.157399893 184.444743085 20.029066882 -97.898658977 -0.714652178 -0.268052650 -0.033912644 -0.645189874
1766070026.256400108 184.927555153 20.046625259 -98.009524927 -0.713475375 -0.267406005 -0.033884705 -0.646760190
1766070026.357199907 185.418039951 20.067784248 -98.115193236 -0.711045794 -0.267020430 -0.034698300 -0.649545992
1766070026.453500032 185.911905423 20.090280046 -98.226219127 -0.711542428 -0.264442893 -0.034289863 -0.650078099
1766070026.556400061 186.402527723 20.113469628 -98.341914992 -0.711157339 -0.264502562 -0.035234546 -0.650424600
1766070026.656599998 186.895987527 20.144369356 -98.457312035 -0.711130062 -0.264682282 -0.035021765 -0.650392805
1766070026.756200075 187.386828912 20.171159210 -98.581548863 -0.710607539 -0.264700406 -0.035527715 -0.650928876
1766070026.857100010 187.882081013 20.201357664 -98.699462265 -0.709657322 -0.264121824 -0.035786928 -0.652185130
1766070026.956000090 188.376381101 20.235704038 -98.827239463 -0.707578120 -0.261114071 -0.038282746 -0.655505208
1766070027.055700064 188.876709917 20.265750305 -98.950162456 -0.705656945 -0.257651266 -0.041998082 -0.658711062
1766070027.155400038 189.376165949 20.299008883 -99.065723955 -0.703853197 -0.253300582 -0.044701911 -0.662141398
1766070027.254800081 189.874849100 20.328937971 -99.188161995 -0.702444826 -0.249130052 -0.047345510 -0.665029237
1766070027.351700068 190.381520491 20.358994048 -99.297736389 -0.699822869 -0.246936460 -0.049599814 -0.668438625
1766070027.451499939 190.884915276 20.385937510 -99.410578822 -0.700125560 -0.242755112 -0.051974635 -0.669472026
1766070027.556999922 191.390380656 20.417327323 -99.517118502 -0.700018091 -0.237564517 -0.053567285 -0.671318344
1766070027.654999971 191.897020809 20.442766481 -99.620871244 -0.698103366 -0.234585419 -0.056164021 -0.674141658
1766070027.756000042 192.406054689 20.470520523 -99.719790007 -0.696838571 -0.230833032 -0.058993879 -0.676499696
1766070027.868799925 192.908161947 20.493286824 -99.816150112 -0.696781154 -0.225123072 -0.060851175 -0.678316121
1766070028.008500099 193.665398065 20.510975110 -99.950406545 -0.694864658 -0.218737221 -0.066022255 -0.681878433
1766070028.106300116 194.168499573 20.525597180 -100.033871716 -0.694221612 -0.214852251 -0.070408810 -0.683328225
1766070028.207000017 194.670517771 20.533079200 -100.112267816 -0.693862670 -0.210777777 -0.073881618 -0.684593916
1766070028.311300039 195.174420438 20.546196945 -100.183740006 -0.692369572 -0.207284144 -0.078334072 -0.686674182
1766070028.409399986 195.674698427 20.555314031 -100.250385477 -0.691709672 -0.201760224 -0.081707231 -0.688588753
1766070028.514600039 196.177587651 20.564584710 -100.305771277 -0.690633948 -0.197307507 -0.083471030 -0.690743864
1766070028.615200043 196.675470781 20.573525879 -100.357371747 -0.691141045 -0.191740363 -0.086161325 -0.691473727
1766070028.713599920 197.176904335 20.579482415 -100.393879479 -0.690571994 -0.187647560 -0.090298845 -0.692636148
1766070028.813800097 197.674017125 20.587542642 -100.428861281 -0.690568694 -0.181811432 -0.093756420 -0.693735696
1766070028.914599895 198.173265119 20.594955730 -100.447708067 -0.690151637 -0.177182752 -0.096618141 -0.694954621
1766070029.015300035 198.671956552 20.603892521 -100.460550898 -0.689738662 -0.171535290 -0.099622821 -0.696355884
1766070029.120399952 199.169853358 20.614239599 -100.465661768 -0.691782265 -0.164187982 -0.101995200 -0.695756124
1766070029.221100092 199.662529130 20.616262733 -100.459948518 -0.691570262 -0.155548350 -0.106114324 -0.697334234
1766070029.318000078 200.156368826 20.618877406 -100.443630708 -0.690237370 -0.146269231 -0.112226939 -0.699701936
1766070029.418999910 200.643521625 20.618052492 -100.425799998 -0.688166904 -0.136180320 -0.119258068 -0.702608530
1766070029.521600008 201.128727053 20.611678708 -100.388044792 -0.687386885 -0.125568206 -0.124426617 -0.704450079
1766070029.624200106 201.611903321 20.600202881 -100.349368655 0.686325946 0.117323017 0.132575873 0.705418772
1766070029.724100113 202.094930459 20.590710021 -100.289838828 0.683774524 0.109142140 0.139083225 0.707952152
1766070029.823899984 202.569416723 20.572378254 -100.230262628 0.682627634 0.101508373 0.145136372 0.708978841
